No,Name,Color,Type,Cost,Atk,Hit,Thema,Thema2,Ip,Trigger,Text,Text2
BT05-001,훈련소장 카티야,화염,리더,-,-,-,아카데미,,이터널 리턴,,기본면 \n [서약] 자신의 덱에 [화염] 카드를 넣어야 한다. [화염] 이외의 카드는 모두 같은 속성이어야 한다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 자신의 필드에 [화염] 이외의 카드가 있다면 상대는 카드를 1장 드로우할 수 있다.,각성면 \n [액티브: 메인] 자신의 패를 1장 골라 트래시한다. 그러면 자신의 트래시 존에서 [트리거] 를 가지지 않고 2코스트 이하인 스킬 카드를 1장 골라 패에 넣는다.
BT05-032,언럭키 바니 니키,폭풍,리더,-,-,-,럭키,,이터널 리턴,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드를 넣어야 한다. [폭풍] 이외의 카드는 모두 같은 속성이어야 한다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 자신의 필드에 [폭풍] 이외의 카드가 있다면 상대는 카드를 1장 드로우할 수 있다.,각성면 \n [액티브: 메인] 아래 효과 중 하나를 고른다. \n・필드에 있는 자신 유닛을 1장 고른다. 그 유닛은 상대의 턴이 끝날 때까지 [엑시트]  [귀환] 을 얻는다. \n・필드에 있는 자신 유닛을 1장 골라 트래시한다.
BT05-063,사관후보생 아야,번개,리더,-,-,-,사관후보생,,이터널 리턴,,기본면 \n [서약] 자신의 덱에 [번개] 카드를 넣어야 한다. [번개] 이외의 카드는 모두 같은 속성이어야 한다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 자신의 필드에 [번개] 이외의 카드가 있다면 상대는 카드를 1장 드로우할 수 있다.,각성면 \n [액티브: 메인] 자신의 패를 1장 골라 트래시한다. 그러면 자신의 트래시 존에서 이 효과로 트래시한 카드와 카드명이 다른 아이템 카드를 1장 골라 필드에 있는 자신 유닛에 사이즈를 무시하고 장착할 수 있다.
ST09-001,트로피컬 디멘션 아비게일,파도,리더,-,-,-,스플래쉬,,이터널 리턴,,기본면 \n [서약] 자신의 덱에 [파도] 카드를 넣어야 한다. [파도] 이외의 카드는 모두 같은 속성이어야 한다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 자신의 필드에 [파도] 이외의 카드가 있다면 상대는 카드를 1장 드로우할 수 있다.,각성면 \n [액티브: 메인] 필드에 있는 자신 유닛을 1장 고른다. 그 유닛은 다음 자신의 턴이 끝날 때까지 「 [이스케이프] 자신의 메인 페이즈가 시작할 때 이 유닛을 주인의 덱 맨 아래에 놓는다. 상대에게 1대미지를 준다」를 얻는다.
ST08-001,1st Anniversary 수아,대지,리더,-,-,-,애니버서리,,이터널 리턴,,기본면 \n [서약] 자신의 덱에 [대지] 카드를 넣어야 한다. [대지] 이외의 카드는 모두 같은 속성이어야 한다. \n [각성] 자신의 리더 레벨이 7 이상이라면 이 카드를 뒤집는다. 자신의 필드에 [대지] 이외의 카드가 있다면 상대는 카드를 1장 드로우할 수 있다.,각성면 \n [액티브: 메인] 자신의 패를 1장 골라 트래시한다. 그러면 자신의 덱 맨 위에서 카드를 1장 공개하고; 그중 유닛 카드를 1장 골라 비어 있는 자신의 유닛 존에 사이즈를 무시하고 배치할 수 있다. 나머지는 모두 트래시한다.
ST07-001,페네,폭풍,리더,-,-,-,호문클루스,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 4 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 자신의 패를 1장 골라 트래시한다. 그러면 그 카드의 코스트 이하이고 《호문클루스》를 가진 필드에 있는 모든 자신 유닛은 이 턴이 끝날 때까지 히트+1.
ST06-001,리나크,화염,리더,-,-,-,계승자,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 필드에 있는 0코스트인 자신 유닛을 1장 골라; 이 턴이 끝날 때까지 파워+2000; 히트+1.
BT04-001,레테,화염,리더,-,-,-,여름 스페셜,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 자신의 효과로 대미지 존에 있는 카드의 수를 참조할 때 자신의 대미지 존에 카드가 4장 더 있는 것으로 취급한다.
BT04-002,조장 아룬카,화염,리더,-,-,-,나탈론 학원,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 이 턴 동안 자신이 다음에 패에서 배치하는 유닛 1장은 이 턴이 끝날 때까지 파워+3000.
BT04-041,신월의 루나,폭풍,리더,-,-,-,혹한의 날들,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 자신의 패에서 《용의 계곡》이나 《혹한의 날들》을 가진 카드를 1장 골라 대미지 존에 놓는다. 그러면 자신의 트래시 존에서 그 카드의 코스트 이하인 카드를 1장 골라 패에 넣는다.
